Attribute,ActiveIngredients,AgeRangeDescription,Color,FinishType,Flavor,HairType,ItemForm,Material,ProductBenefit,Scent,SkinTone,SkinType,SpecialIngredients,TargetGender,Variety
asin_entity_precision,0.9069767441860465,0.9377777777777778,0.8005952380952381,0.9663526244952894,0.7575196668209162,0.9368932038834952,0.9398762157382847,0.8577981651376146,0.7746478873239436,0.734375,0.7837837837837838,0.9188445667125172,0.8947368421052632,0.9420289855072463,0.988929889298893
asin_entity_recall,0.3236514522821577,0.7631103074141049,0.6658415841584159,0.693050193050193,0.747147421268827,0.8654708520179372,0.835691823899371,0.6569086651053864,0.4241645244215938,0.6540755467196819,0.47540983606557374,0.6851282051282052,0.17,0.7471264367816092,0.7243243243243244
asin_entity_f1,0.47706422018348627,0.8414755732801595,0.7270270270270272,0.8071950534007869,0.7522977941176471,0.8997668997668998,0.8847274240532668,0.7440318302387269,0.548172757475083,0.6919032597266036,0.5918367346938777,0.7849588719153937,0.2857142857142857,0.8333333333333334,0.8361934477379096
fact_entity_precision,0.6850393700787402,0.723404255319149,0.5370967741935484,0.8104265402843602,0.2780008924587238,0.6443965517241379,0.7517385257301809,0.5455207574654042,0.5411471321695761,0.4017901541521631,0.5517241379310345,0.7853839037927844,0.8833333333333333,0.9285714285714286,0.7523584905660378
fact_entity_recall,0.21428571428571427,0.7484276729559748,0.6032608695652174,0.6774960380348652,0.6720604099244876,0.6430107526881721,0.8315384615384616,0.581973581973582,0.30520393811533053,0.5658263305322129,0.4050632911392405,0.6242647058823529,0.10433070866141732,0.7471264367816092,0.7299771167048055
fact_entity_f1,0.3264540337711069,0.7357032457496137,0.5682593856655291,0.7380233059991368,0.3933080808080808,0.643702906350915,0.789627465303141,0.5631578947368421,0.3902877697841727,0.46990404187263746,0.4671532846715329,0.6956165505940188,0.18661971830985913,0.8280254777070064,0.7409988385598141
asin_token_precision,0.9534883720930233,0.94,0.9107142857142857,0.9663526244952894,0.9028227672373901,0.9466019417475728,0.9398762157382847,0.8914373088685015,0.7887323943661971,0.90625,0.7837837837837838,0.938101788170564,0.8947368421052632,0.9420289855072463,0.988929889298893
asin_token_recall,0.34024896265560167,0.7649186256781193,0.7574257425742574,0.693050193050193,0.8904609767229575,0.874439461883408,0.835691823899371,0.6826697892271663,0.4318766066838046,0.8071570576540755,0.47540983606557374,0.6994871794871795,0.17,0.7471264367816092,0.7243243243243244
asin_token_f1,0.5015290519877676,0.843469591226321,0.8270270270270269,0.8071950534007869,0.8965992647058822,0.9090909090909092,0.8847274240532668,0.773209549071618,0.5581395348837209,0.8538380651945321,0.5918367346938777,0.8014101057579318,0.2857142857142857,0.8333333333333334,0.8361934477379096
fact_token_precision,0.7335958005249343,0.7370820668693009,0.683306451612903,0.8263823064770935,0.5261911844910507,0.7079741379310346,0.7618219749652295,0.6990774459820345,0.5577722360764754,0.7128294380905024,0.589080459770115,0.8788159111933395,0.8833333333333333,0.9285714285714286,0.8003144654088051
fact_token_recall,0.2315270935960591,0.77437106918239,0.7853260869565217,0.7076069730586371,1.0463211246382766,0.7473118279569892,0.8526923076923076,0.7205387205387205,0.31622128457571497,0.8288815526210493,0.46835443037974683,0.6605392156862754,0.10433070866141732,0.7471264367816092,0.8237986270022883
fact_token_f1,0.35197031301284065,0.7552665902533497,0.7307728349257736,0.7623963091221208,0.7002361110117622,0.7271113163530978,0.8046998962617451,0.7096458611342635,0.40361730110116684,0.7664875906809849,0.5218258745829178,0.7542020195027618,0.18661971830985913,0.8280254777070064,0.8118867594313603
